,uid,average_audio,day_average_audio,night_average_audio,night_talk_audio_second,night_talk_audio_count,night_noise_audio_count,night_noise_audio_second,night_silent_audio_second,night_silent_audio_count,day_talk_audio_second,day_talk_audio_count,day_noise_audio_count,day_noise_audio_second,day_silent_audio_second,day_silent_audio_count
0,u00,0.8344407148219417,0.889986238672174,0.6721253722893642,177667,42580,57966,154394,750135,35432,609079,152544,201516,579545,1950983,110447
1,u01,0.8072553308782656,0.7478870794501524,0.9110010069475164,181746,94533,120134,300249,385728,67782,428938,134036,160582,352323,1759524,102739
2,u02,0.6543004114721277,0.606173440810462,0.7528813753781767,147269,57590,79683,202709,739822,41865,272891,96037,125891,325273,3217776,66933
3,u03,0.2004384285524688,0.2383659266767329,0.0979209209972574,4451,4735,9372,16787,1134926,10232,71088,19911,37467,96112,2901300,33430
4,u04,0.9561295070563282,0.981224801639539,0.8947938775910749,267246,62109,76063,156722,580659,43959,797913,161510,184098,359090,1764943,97211
5,u05,0.6558018185720806,0.6457294172087793,0.6789482307190573,127264,50363,61052,140403,796555,43221,341188,106111,132428,281012,2126278,100715
6,u07,0.6485833163101183,0.6413620043814572,0.66500188321022,133003,33602,49674,91630,651826,35265,302370,69614,91284,189302,1871420,55332
7,u08,0.7074957610317317,0.6129645914903296,0.8714038961614142,202084,91610,119330,259420,725947,73122,313983,106275,148798,346420,2613108,103716
8,u09,0.718957420592982,0.6914444328540293,0.7737453470172589,111912,69212,105041,302450,585363,67529,404301,117686,177307,459979,2590113,124949
9,u10,0.6298976758808648,0.6614128985785183,0.5461305707985025,106801,41439,52179,117186,1063691,34461,416140,127734,170174,347819,2482690,133402
10,u12,0.6122462719636488,0.6325554524705307,0.5608205879131332,71310,37277,54906,163135,985447,36788,312971,102180,154440,415800,2927930,104490
11,u13,0.5097986469656318,0.461979783261998,0.6025132822193237,88320,41201,59860,146184,854774,46854,166103,57478,84329,203469,2729623,68535
12,u14,0.916176616650634,0.819502912597559,1.0923434641698069,275600,98447,114931,241031,400454,45237,535918,136650,164512,389042,2028461,83125
13,u15,0.700185309186041,0.7198997694421051,0.6589087160117935,52455,29230,48695,107316,399796,36066,178571,57234,84258,192383,1401073,52544
14,u16,0.5210667940510139,0.5224792616716268,0.5184468066367938,66482,39079,77721,174618,834815,64403,238524,68887,105454,237312,2956071,71379
15,u17,0.5275206408955998,0.5496804217274606,0.4655099434606953,101258,25951,30914,100441,1178422,29262,269312,74686,108195,361725,2827110,84362
16,u18,0.5014661059975982,0.5103208600249891,0.4812896317844917,48660,27297,44681,126570,580677,36415,193541,65723,93197,247726,1903254,67832
17,u19,0.529732477478246,0.5087609868161335,0.5784892684885121,125153,39741,56679,164162,1208217,41465,226586,83021,127189,309268,2243416,95997
18,u20,0.4819545297047896,0.4509027299724974,0.5469082240983915,79937,26737,35270,93135,684141,28286,192943,44049,53025,122469,2001299,45835
19,u22,0.5880163833086738,0.522609205283196,0.7121539030197794,172405,48764,52721,116018,459324,32790,391306,62527,68867,122579,2039435,47605
20,u23,0.5255687782204665,0.601202684994995,0.2821490459641363,66487,17243,13189,30297,937471,16975,363596,93351,108551,239745,2063922,94000
21,u24,0.7150197619320997,0.6488992382345216,0.8384991879440068,71827,38825,49712,137361,354589,26495,127527,51509,71527,217266,1283341,43489
22,u25,0.7808098671700174,0.7479081280422263,0.8396012624995852,82941,41552,59446,169995,418134,36302,235280,65129,96191,343440,1130763,59641
23,u27,0.5619780610417203,0.4796274175542668,0.7113755580393112,155484,63994,88018,160924,851014,66719,193358,72665,103404,239870,2883340,81582
24,u30,0.9225299334509394,0.8913254231628159,0.9857759108440436,239850,92598,113756,266989,566112,50522,582646,161264,206315,416012,2050305,107306
25,u31,0.6173124678055649,0.6153133355808044,0.6220152644518903,108043,50086,70139,179357,943963,58226,276355,117814,177618,363102,2333063,153805
26,u32,0.7723686128399114,0.6985779528320124,0.9162803301189348,178817,81734,99459,222146,475207,43706,300767,121588,160424,345237,2095064,89513
27,u33,0.7085211410900268,0.6149401975952737,0.8793556015370972,156973,63361,65203,197342,667739,30124,264689,81357,90329,224697,2363881,53699
28,u34,0.6620893375459146,0.5961551364746509,0.7879782984202087,124843,32474,46537,123988,495533,28569,153148,48462,69341,192277,1792342,44988
29,u35,0.4640243623725986,0.4394946808510638,0.5176107096404607,114946,27151,45017,126410,1130897,31607,241307,53936,77382,211570,3277505,50388
30,u36,0.5184383838157617,0.489961108930674,0.5795886907580305,128526,36532,51363,123546,828455,38834,317154,60116,87716,197798,2647382,64963
31,u39,0.1840883705961418,0.151633759694052,0.2515562342627996,4259,4135,10160,24456,400887,9270,9456,5903,12357,37500,1220314,11488
32,u41,0.6129066500866281,0.5620610487093137,0.7211194832302851,89588,44008,54873,113418,630441,36794,237932,62804,89318,207100,1958044,62561
33,u42,0.4788985202122158,0.4787249707634006,0.4792862858804576,23231,20542,40673,117133,618897,31441,106885,46866,74725,200233,2122750,50710
34,u43,0.6409180674701661,0.6878259401044565,0.5455750525564834,64710,38284,72468,131546,762462,60342,468139,87140,122052,206995,2078020,82769
35,u44,0.4066769001982629,0.4405366730993921,0.3151330157046638,44694,17719,24384,65928,993757,24240,170261,56161,80654,277506,2892461,69957
36,u45,0.6529972352008974,0.6366719874433935,0.6834487586966812,70656,32785,49200,178671,577088,33281,214610,58762,76239,206365,1777141,44576
37,u46,0.8462884617576258,0.6669185039721504,1.1055726678530582,284766,116064,132505,260052,440415,54223,317816,99556,128797,263842,2042758,83379
38,u47,0.5497661761118231,0.5105361128898868,0.626835454642688,157288,25487,29680,62457,796719,19049,265844,35119,39815,81951,2028670,24928
39,u49,0.6186047011227438,0.636405970597361,0.5714943178321032,143047,52288,58919,88337,988424,54207,346320,163712,216565,271923,2606100,203499
40,u50,0.3184686780040949,0.3120181005313294,0.3317957471658066,11676,10794,24257,67563,694046,21553,45455,21310,41764,108928,1903193,35196
41,u51,0.5509423123681051,0.514547204742962,0.6324212304372263,181252,42737,55942,105688,1011535,42995,332754,72274,100489,225945,3124490,78766
42,u52,0.4060622840280649,0.2914884839832579,0.6012145653097284,141523,28732,40483,78177,955599,29975,178468,24374,34844,58339,3498371,32200
43,u53,0.5276821951128401,0.499596101028596,0.5863073253196378,85499,36254,66018,187195,859244,53618,193779,67189,108937,304080,2690278,87380
44,u54,0.5700563498198702,0.5484398951556998,0.6126419456034021,78443,36247,49087,132190,568959,30025,181505,62318,85338,240730,1921427,55791
45,u56,0.6366401434186031,0.5268019441860305,0.8352819610315773,212067,52243,60771,122394,696063,28426,320306,59035,70658,140094,2665238,50001
46,u57,0.8894972662749254,0.7957021301414694,1.05791192935392,409927,102848,113765,271341,490661,46976,703807,138796,150585,295422,2516696,77584
47,u58,0.6880960052798757,0.6224392718127868,0.8103492820896353,161798,59662,76509,248742,648974,41946,278211,89889,105612,309654,2442429,54021
48,u59,0.8752856987316748,0.8548332864804679,0.9223664658096644,402651,110747,119838,174252,596400,81567,1286237,183944,187403,291379,1645652,138743
