,uid,night_start_phonecharge_count_sum,night_start_phonecharge_span_sum,night_end_phonecharge_count_sum,night_end_phonecharge_span_sum,day_start_phonecharge_count_sum,day_start_phonecharge_span_sum,day_end_phonecharge_count_sum,day_end_phonecharge_span_sum,night_charge_sum,night_charge_percent,average_night_charge_span_second
0,u00,42,747188,21,255090,33,365713,46,715191,466056,0.4187757940733272,7170.092307692307
1,u01,14,404393,1,17041,30,591986,24,559283,90934,0.0912644686409488,1466.6774193548388
2,u02,68,1164777,37,289796,37,391092,66,1232007,445610,0.2864058606476509,6855.538461538462
3,u03,22,549798,14,222073,25,395477,25,592474,351876,0.3722472296421676,7330.75
4,u04,54,1363928,3,19525,6,55083,18,437239,353104,0.2488380992113521,6305.428571428572
5,u05,42,834078,23,173136,30,261908,47,876141,302114,0.2756549809942827,4872.806451612903
6,u07,24,501108,14,148212,24,392838,19,373632,264267,0.2956185272935949,5505.5625
7,u08,42,447813,30,213263,65,858738,68,941216,290627,0.2224383127792179,4613.126984126984
8,u09,48,1078130,22,212761,23,206558,35,693629,404340,0.3147378974505872,6317.8125
9,u10,10,98722,20,247118,75,715012,57,465564,343434,0.4220470079903261,5283.6
10,u12,59,1552983,12,148669,35,316737,68,1478469,609886,0.3261910874355518,9529.46875
11,u13,31,305919,39,319740,66,558331,58,544510,344888,0.3990604570436795,5653.901639344263
12,u14,28,584139,14,135878,41,500679,33,420818,256973,0.2368812095669504,4144.725806451613
13,u15,13,186621,12,132004,17,138745,13,101710,176926,0.5437753176422859,2808.3492063492063
14,u16,30,519211,26,240831,52,554375,55,822589,336113,0.3130750587284111,5335.126984126984
15,u17,27,435523,25,275904,54,639062,41,640397,379133,0.352818064648213,6115.048387096775
16,u18,28,462134,24,263058,42,443532,42,555121,374104,0.413070602186678,6235.066666666667
17,u19,36,275831,51,492341,69,615845,52,389105,493245,0.5531661724662321,7588.384615384615
18,u20,13,179284,13,153502,21,327442,18,278642,213016,0.4203770874200258,4019.169811320755
19,u22,20,256257,19,251394,39,526788,30,365032,349179,0.4459245637223914,5455.921875
20,u23,5,83365,13,253541,133,1678870,106,1197951,594891,0.3375775648537227,10623.05357142857
21,u24,14,227270,15,182735,16,338635,3,58105,209716,0.3705851688887711,7489.857142857143
22,u25,10,111793,16,128033,18,138901,5,34299,139708,0.5572849769041142,2367.93220338983
23,u27,30,447343,32,335477,43,504189,26,245848,431986,0.4539899866741213,6749.78125
24,u30,38,893267,13,103139,28,352865,38,777775,259895,0.2085613723104775,4060.859375
25,u31,36,346314,37,336922,77,734854,76,744246,413394,0.3823587083598478,6667.645161290323
26,u32,35,851324,18,186030,42,523936,52,1022134,306007,0.2225084711254599,4781.359375
27,u33,22,317599,14,103122,46,909853,35,681321,181009,0.1474672736693573,3694.061224489796
28,u34,9,100887,7,78601,18,219047,11,116297,119690,0.3741084098595335,1994.8333333333333
29,u35,12,151494,14,202360,30,461361,24,305405,237512,0.3875500730189033,3893.6393442622953
30,u36,24,513337,15,218797,39,649964,46,914894,325665,0.2799490415636194,5427.75
31,u39,0,0,0,0,1,22789,0,0,0,0.0,
32,u41,19,208222,31,384831,33,462511,15,171151,394126,0.5876049038887307,6461.081967213115
33,u42,9,148796,6,117648,20,333735,12,136405,321584,0.6664525180765588,6562.938775510204
34,u43,41,649735,32,237450,28,191580,21,130517,350343,0.4164230995524863,6146.368421052632
35,u44,21,249668,24,240366,29,282032,20,202729,306415,0.576293022381042,5571.181818181818
36,u45,22,240834,21,286789,35,420038,23,213860,415965,0.6294184047742982,7297.631578947368
37,u46,23,356131,15,122633,46,792181,48,925425,152326,0.1326521015194476,2929.346153846154
38,u47,33,368685,34,350188,26,311312,17,224881,425576,0.6258498199256761,6976.655737704919
39,u49,45,586260,49,486968,102,860937,98,960229,664615,0.4592429365179723,10384.609375
40,u50,9,119819,3,38531,18,245766,10,85198,207364,0.567211455612238,3456.0666666666666
41,u51,32,892927,4,35125,23,424285,7,65913,187659,0.1424668162755881,2932.171875
42,u52,26,472013,22,187714,40,434469,41,632188,276294,0.304798109614973,4385.619047619048
43,u53,17,243181,15,164594,32,469933,14,101348,266304,0.3734381880036011,4227.047619047619
44,u54,28,332753,22,181160,38,380159,38,466725,239430,0.3358479026864466,3800.4761904761904
45,u56,16,406996,6,43935,23,243489,27,530190,98775,0.1518482363159796,1543.359375
46,u57,57,1003749,32,237832,52,680550,50,739107,388802,0.2308390612355644,5981.569230769231
47,u58,32,833988,6,75834,28,383911,49,1050556,213704,0.1754693944243324,3392.126984126984
48,u59,66,739781,56,437538,88,1024554,90,1173785,544980,0.308886917733877,8384.307692307691
